incident_datetime,alarm_box_borough,zipcode,alarm_box_location,lat,lon,CountyName,Geoid2010
2017-03-02T21:34:36.000,BRONX,10462.0,HOLLAND & LYDIG AVES,40.8544645,-73.86575440000001,Bronx County,36005022403
2017-02-16T08:09:32.000,QUEENS,11433.0,109 AVE & 160 ST,40.694116,-73.79213,Queens County,36081025400
2017-05-03T19:53:56.000,QUEENS,11417.0,109 AVE & CROSS BAY BLVD,40.67740810000001,-73.84381669999998,Queens County,36081008600
2017-12-03T13:53:17.000,MANHATTAN,10029.0,3 AVE & 112 ST,40.7954061,-73.94188259999999,New York County,36061017200
2017-09-19T18:15:17.000,BRONX,10455.0,MELROSE AVE & E 152 ST,40.8182385,-73.9168002,Bronx County,36005006700
2017-09-10T20:47:29.000,MANHATTAN,10039.0,151 ST & MACOMB'S PL,40.82636820000001,-73.9385307,New York County,36061023600
2017-06-05T08:51:15.000,BROOKLYN,11209.0,4 AVE & 73 ST,40.6321528,-74.02452989999998,Kings County,36047006600
2017-12-26T19:26:39.000,MANHATTAN,10022.0,3 AVE & E 50 ST,40.7548001,-73.9680941,New York County,36061009800
2017-02-06T10:42:54.000,BROOKLYN,11229.0,AVENUE W & BATCHELDER ST,40.5962903,-73.938197,Kings County,36047057200
2017-02-27T19:28:36.000,BROOKLYN,11238.0,GRAND AVE & CLIFTON PL,40.6878315,-73.9626928,Kings County,36047023100
2017-10-11T11:31:58.000,BROOKLYN,11212.0,LIVONIA AVE & SACKMAN ST,40.663407299999996,-73.9032926,Kings County,36047091000
2017-03-09T05:51:46.000,BROOKLYN,11206.0,PARK AVE & MARCUS GARVEY BLVD/SUMNER AVE,40.69543529999999,-73.94035129999997,Kings County,36047028300
2017-12-09T18:09:57.000,MANHATTAN,10016.0,2 AVE & E 29 ST,40.7412631,-73.97673470000002,New York County,36061007000
2017-02-13T06:44:09.000,RICHMOND / STATEN ISLAND,10305.0,ALTER AND LACONIA AVES,40.5875886,-74.0908972,Richmond,36085007000
2017-12-18T17:06:43.000,BRONX,10459.0,UNION AVE & 165 ST,40.8243848,-73.90117599999998,Bronx County,36005012901
2017-07-05T22:04:20.000,BRONX,10475.0,BAYCHESTER AVE AND COOP CITY BLVD,40.8797895,-73.8320203,Bronx County,36005046201
2017-10-29T21:01:20.000,BROOKLYN,11222.0,VANDERVOORT AVE & RICHARDSON ST,40.720574799999994,-73.9383766,Kings,36047044900
2017-11-07T23:55:58.000,QUEENS,11691.0,CORNAGA AVE & BAY 25 ST,40.6027086,-73.7652072,Queens,36081100802
2017-12-23T16:50:43.000,BROOKLYN,11225.0,BEDFORD AVE & PRESIDENT ST,40.66835870000001,-73.955908,Kings County,36047032500
2017-10-01T11:42:24.000,RICHMOND / STATEN ISLAND,10301.0,LAFAYETTE AVE & CASSIDY PL,40.642032799999996,-74.0951527,Richmond County,36085008100
2017-02-01T14:09:57.000,BRONX,10467.0,DECATUR AVE & 211 ST,40.880261299999994,-73.87194269999998,Bronx County,36005043500
2017-12-28T17:17:43.000,QUEENS,11369.0,ASTORIA BLVD AND 93RD ST,40.7631145,-73.87632280000003,Queens County,36081034700
2017-07-30T20:42:33.000,BROOKLYN,11217.0,6 AVE & STERLING PL,40.6780626,-73.9761776,Kings County,36047015900
2017-10-09T00:16:12.000,BRONX,10451.0,3 AVE & 145 ST,40.814186799999995,-73.9212178,Bronx County,36005005100
2017-11-24T17:25:11.000,BROOKLYN,11205.0,PARK & CLERMONT AVES,40.6781784,-73.94415790000002,Kings,36047031300
2017-06-15T17:17:23.000,BRONX,10468.0,MORRIS AVE & 183 ST,40.844781899999994,-73.86482679999997,Bronx,36005023800
2017-05-01T04:07:50.000,BRONX,10462.0,N/S METROPOLITAN AV & PURDY ST,40.840556799999995,-73.85408319999998,Bronx County,36005022200
2017-07-01T02:48:24.000,BROOKLYN,11207.0,DUMONT AV & PENNSYLVANIA AV/G. PAYNE AVE,40.673165000000004,-73.89620169999998,Kings County,36047114400
2017-11-12T22:44:01.000,BRONX,10472.0,WESTCHESTER & COLGATE AVES,40.828367799999995,-73.8819795,Bronx County,36005005400
